ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;true;true;false;false;14;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3350.17
Neural Gas;EuclideanDistance;true;true;false;false;4;23.5852;0.0;10.501100000000001;0.0;0.20450000000000002;0.0;62.51
ClusterART;Not needed;true;true;false;false;15;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;2117.87
Neural Gas;EuclideanDistance;true;true;false;false;5;18.868100000000002;0.0;6.7207;0.0;0.1636;0.0;45.94
ClusterART;Not needed;true;true;false;false;16;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3508.82
Neural Gas;EuclideanDistance;true;true;false;false;6;15.6821;0.0;14.019;0.0;0.1023;0.0;56.69
ClusterART;Not needed;true;true;false;false;17;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;5140.63
Neural Gas;EuclideanDistance;true;true;false;false;7;13.4418;0.0;10.2997;0.0;0.0877;0.0;67.03
ClusterART;Not needed;true;true;false;false;18;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;2425.42
Neural Gas;EuclideanDistance;true;true;false;false;8;12.923200000000001;0.0;13.1317;0.0;0.0743;0.0;74.97
ClusterART;Not needed;true;true;false;false;19;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3569.44
Neural Gas;EuclideanDistance;true;true;false;false;9;11.3533;0.0;21.8257;0.0;0.0268;0.0;90.77
ClusterART;Not needed;true;true;false;false;2;60.3479;0.0;32.5382;0.0;0.0756;0.0;1786.92
Neural Gas;EuclideanDistance;true;true;false;true;10;1.4587;0.0;2.5924;0.0;0.1623;0.0;10.76
ClusterART;Not needed;true;true;false;false;20;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3199.45
Neural Gas;EuclideanDistance;true;true;false;true;11;1.3464;0.0;2.5762;0.0;0.30960000000000004;0.0;11.22
ClusterART;Not needed;true;true;false;false;21;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3106.44
Neural Gas;EuclideanDistance;true;true;false;true;12;1.2496;0.0;3.0059;0.0;0.2126;0.0;12.06
ClusterART;Not needed;true;true;false;false;22;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3545.77
Neural Gas;EuclideanDistance;true;true;false;true;13;1.21;0.0;2.4748;0.0;0.1915;0.0;18.25
ClusterART;Not needed;true;true;false;false;23;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3654.56
Neural Gas;EuclideanDistance;true;true;false;true;14;1.1422;0.0;2.4674;0.0;0.11720000000000001;0.0;14.4
ClusterART;Not needed;true;true;false;false;24;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;2237.46
Neural Gas;EuclideanDistance;true;true;false;true;15;1.0923;0.0;2.1388000000000003;0.0;0.1903;0.0;15.53
ClusterART;Not needed;true;true;false;false;25;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;2348.87
Neural Gas;EuclideanDistance;true;true;false;true;16;1.0167000000000002;0.0;2.4661;0.0;0.1565;0.0;18.02
ClusterART;Not needed;true;true;false;false;26;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3657.7
Neural Gas;EuclideanDistance;true;true;false;true;17;1.0152;0.0;2.1211;0.0;0.1653;0.0;17.24
ClusterART;Not needed;true;true;false;false;27;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3470.32
Neural Gas;EuclideanDistance;true;true;false;true;18;0.9366000000000001;0.0;2.1643;0.0;0.1476;0.0;25.94
ClusterART;Not needed;true;true;false;false;28;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3492.48
Neural Gas;EuclideanDistance;true;true;false;true;19;0.8779;0.0;1.9376;0.0;0.1661;0.0;19.07
ClusterART;Not needed;true;true;false;false;29;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;2337.5
Neural Gas;EuclideanDistance;true;true;false;true;2;6.5276000000000005;0.0;7.5867;0.0;0.545;0.0;2.26
ClusterART;Not needed;true;true;false;false;3;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;2103.56
Neural Gas;EuclideanDistance;true;true;false;true;20;0.8347;0.0;2.2209000000000003;0.0;0.19970000000000002;0.0;20.33
ClusterART;Not needed;true;true;false;false;30;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;2508.79
Neural Gas;EuclideanDistance;true;true;false;true;21;0.805;0.0;2.0438;0.0;0.1826;0.0;29.06
ClusterART;Not needed;true;true;false;false;4;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;2160.17
Neural Gas;EuclideanDistance;true;true;false;true;22;0.7874;0.0;2.2608;0.0;0.1597;0.0;22.2
